Region,Partner Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Middle East & North Africa ,Thailand,Import,15382.41,17360.13,388420.51,415776.31,386288.52,302290.59,549209.41,606560.34,606007.57,903214.45,1538479.8,1711738.91,1927486.73,2023922.69,2338015.42,3044043.46,3574235.92,4407354.59,5974176.9,8504413.79,7079527.8,8922857.1,9009802.54,10710039.37,11247504.36,11957562.41,11664814.07,9897163.66,10020624.62,9506607.85,9416220.74,7796149.53,,,
Middle East & North Africa ,China,Import,10706.13,11093.62,838452.93,1155101.4,1218598.29,1150915.05,1822042.75,1781493.56,1723724.24,3368327.93,5256002.31,6739594.17,8266431.07,10574412.74,13671301.72,19177168.1,22962212.05,30406692.48,40756900.97,59994877.62,47985180.45,64723468.2,69861396.16,83980963.4,86992753.96,113104378.3,106322955.3,100532720.3,140919159.6,119757379.7,115966073.4,102711469.7,,,
Middle East & North Africa ,Austria,Import,7401.71,7447.98,244602.05,467445.41,413918.51,596850.3,709448.47,616057.64,697851.27,894350.01,1032346.78,962854.63,1052337.58,1119641.51,1489472.37,1947488.76,2243929.04,2055756.86,2850868.22,3589901.08,2936136.05,3905410.29,3960265.29,3622019.01,4033190.73,4552914.62,4810966.37,3852681.82,42306861.2,4295099.35,3476456.56,3179812.1,,,
Middle East & North Africa ,Vietnam,Import,NaN,NaN,1201.22,18569.59,18109.15,59362.67,69723.89,49254.02,87926.72,78375.43,123748.74,113529.88,104092.8,128265.57,167561.87,221074.54,329624.48,417658.11,618770.74,1071873.15,1003473.44,1118456.28,1601642.09,6154723.8,5050848.69,6886237.72,8130898.46,7325968.75,14537598.82,12731993.24,12347656.78,9371516.3,,,
North America,United States,Import,74532782.08,75233697.79,75265212.42,79822733.31,88041701.38,100226302,110261027.4,114535727.1,133547617.5,137306128.4,144425238.5,154497368.4,140999710.4,139278667.4,145755350.5,160827006.7,178395769.9,192942436.3,207257607,214861874.7,164951309.1,198242763.7,223797589.4,234676892.5,241298818.2,252504365,223783972.8,210601541.4,223289538.9,235864280.6,230854904.5,198360114.3,,,
North America,Japan,Import,8063961.09,8154769.41,104661655.6,109125607.4,118702259.2,130788709.4,136034621.8,125620932.1,133350673.4,134527177.7,144992480.3,157655638.9,135930351.5,134400812.7,131121541.3,143951796.4,154097671.8,165783421.6,163884023,157769062.2,109269968.4,136824737.7,145758369.3,161474746,151920834,149554204,146592924.4,146998841.6,153244097.9,158915088.7,159403957.4,132585852.3,,,
North America,Germany,Import,3156421.12,3302260.74,30147566.34,32519143.68,32176971.78,35904901.89,41542088.38,43528078.85,48100078.62,55409342.21,61282117.63,63745074.12,64242238.25,69192043.12,75863924.18,86396315.23,95359129.23,101076495.2,107396353.3,111745491.5,82162234.97,95097143.65,113604292.7,123535650.3,129303323.2,139975689.6,140744194.7,129261611.9,133829968.9,143088838.2,144437867,130284710.5,,,
North America,"Korea, Rep.",Import,2061199.74,1929183.1,19577511.68,19025539.07,19480642.43,22211027.46,27227312.54,25299333.5,25846954.08,27040796.93,34880709.38,43781451.03,38155761.91,40007560.12,42270684.74,52306838.26,49964327.68,52721274.52,54340924.96,55491523.42,45768549.23,56583917.38,65283588.62,65282281.27,69563152.27,78304527.7,80504033.82,79896051.76,80051764.12,83499736.09,87118453.06,85457575.19,,,
North America,China,Import,998343.42,1192272.51,21893483.78,29476624.26,36066200.06,44172344.58,51887106.57,58014065.66,70390703.6,80257327.62,93779136,107607013.7,110485894,143712361.7,176602498.6,229049181.9,284207428.7,336226893.9,375935997.5,396464263.3,344407968.2,426214302.9,466001886.4,476331531.6,491572982.7,539378357.8,555421385.4,529910279,580444501.8,621554875.3,529031208.8,514246260.9,,,
North America,Australia,Import,521185.66,656521.09,4851281.02,4571802.75,4339341.12,4245663.36,4495678.4,5064489.86,5749812.16,6561987.84,6402833.79,7468368.42,7519573.47,7913787.96,7882573.78,9318801.31,9102933.52,9948142.04,10621218.42,12477410.05,9651089.07,10368099.64,12150090.87,11440015.9,10642877.67,12066391.74,12279188.37,11068931.64,11630769.82,11829225.99,12775749.63,16083345.04,,,
North America,Singapore,Import,424261.89,472767.94,10710207.68,12093935.71,13666461.25,16501313.09,19852411.29,21523079.17,21216174.75,19450459.58,19386483.01,20119342.36,15734277.39,15733709.19,16213613.88,16410598.14,16183162.38,18939245.18,20087703.91,17345586.71,16865999.45,18800801.66,20939935.03,21658032.86,19103543.33,17696187.01,19267226.89,18804588.06,20394944.96,27860960.95,27600882.38,32021069.21,,,
North America,Thailand,Import,354552.58,347868.93,6883557.76,8404683.17,9573195.46,11456320.96,12593440.31,12564918.59,13906588.33,14829402.3,16170809.34,17509861.55,15819998.07,16808644.02,17437833.96,20197715.66,22669518.04,25672311.36,25941549.45,26940606.41,21886530.44,25965365.58,28455612.28,28702606.3,28730915.25,30621458.97,32066226.05,32844814.58,34767892.34,35780526.88,37601714.9,41858635.46,,,
North America,Malaysia,Import,270333.09,325789.7,6726840.54,9089984.93,11597062.34,15308845.57,19110291.54,19489106.43,19960589.57,20866029.7,23475011.84,27241745.26,23567397.84,26019945.76,27822463.55,31070552.98,36813586.28,40116364.31,36427591.81,34326991.81,25924715.98,28849785.07,28653030.81,28166667.02,29406834.69,33301860.4,36784133.73,39265452.25,40248351.24,42433880.51,43643104.1,47608855.51,,,
North America,Vietnam,Import,12652.11,13483.89,11318.95,13671.98,20805.46,79829.84,265457.94,413473.56,520608.54,718579.49,785815.05,963521.45,1205987.7,2765893.87,5150299.76,6072699.04,7668723.49,9841277.33,12134496.49,14752293.61,13965270.29,17028597.36,19803817.02,21887497.03,26735071.4,34573201.51,42894845.78,47489143.03,52341031.02,55440239.19,74655035.93,89306079.25,,,
North America,United States,Export,85338095.62,95219064.83,95501385.73,104064376.8,116696391.7,135932265.4,151431554.6,161108656.1,176882024.5,181853782,205020266.5,241728902.4,227244274.6,220072350.6,233380458.1,267804199.9,302195424.3,316556507.5,331601972.1,353782674.8,236480911.5,289418958.6,331755015.9,338265373.1,346041487.9,364968817.3,313551811.4,296447885.7,318579792.2,337480783,335698020.6,284495527,,,
North America,Japan,Export,7426362.88,7038115.84,54351000.06,53952985.6,54487806.46,60535465.47,73035676.67,75736803.84,73721271.3,63690054.14,63131326.98,71032937.09,62838098.57,56775958.26,57857617.36,60155644.51,62257445.63,67953701.83,71266750.6,77038203.72,58477915.77,69401655.69,76568021.99,80322573.3,75538797.15,76551065.47,70085770.69,71330412.25,76703347.24,85226860.7,84158719.3,73334300.76,,,
North America,Germany,Export,1664212.22,1990756.99,23405173.76,23124521.22,20871140.99,20896131.2,24787108.56,25917203.46,26433818.75,28463542.02,28411622.53,31567409.08,31887770.43,28512345.91,30911536.54,33476882.97,36850593.25,44800148.64,53198360.15,58892694.68,46471359.88,51671527.43,52798695.44,51773015.26,50051396.13,51715474.03,52346573.18,52329151.21,56656004.76,60960633.24,64373211.34,61655662.74,,,
North America,"Korea, Rep.",Export,1353760.38,1339916.67,17152792.19,15807638.78,16104611.71,19636551.94,27407571.97,28649169.54,27258012.16,17762839.04,24285460.48,29350839.46,23483893.43,23861114.55,25501419.79,27933974.58,29905819.82,35352714.05,37508409.4,38428775.66,31740081.55,42424027.23,48610070.93,46000519.26,45085415.05,48247637.64,46589747.29,45564743.39,52435419.19,61031582.89,61072388.77,54722269.04,,,
North America,China,Export,967149.63,1418021.89,7894886.4,9338699.14,10067440.26,10968430.34,14273531.39,14189178.11,14542643.2,15940247.81,14906168.96,18629401.06,21937161.13,24761279.01,31804117.85,39636792.34,47152440.63,62103594.92,74111230.06,81337865.82,79372902.91,104765391,121105998.8,129899726.4,141621095.5,141123407,131855401.2,131419857.1,147983454.4,141524583.2,124172931.9,143509688.1,,,
North America,Australia,Export,929563.07,773661.44,8995944.45,9492748.03,8896601.66,10475127.36,11679550.59,12737115.52,12752906.05,12583042.43,12457043.01,13279632.63,11627631.81,13830145.67,14128256.66,15170413.04,16942758.27,19405033.93,20834227.02,24449546.19,21154927.3,23506207.13,29539354.55,33185790.41,27714431.07,28085297.25,26501243.79,23605521.9,26052483.92,26889809.58,27724343.29,25066269.96,,,
North America,Thailand,Export,291722.02,431107.81,4065114.59,4257076.06,4054980.8,5160725.22,6824164.99,7632026.72,7693777.28,5436363.66,5186606.62,6866834.07,6275306.95,5198204.29,6163967.03,6765823.03,7655559.68,8630259.24,8993573.54,9739182.86,7418890.91,9609695.02,11777217.71,11605656.37,12528061.85,12457466.59,11926304.49,11180864.36,11585535.04,13050298.69,13972352.39,11770957.47,,,
North America,Singapore,Export,218990.18,347343.55,9128179.1,9896906.85,11934429.54,13298265.44,15682627.97,17105397.95,18122767.52,15959357.92,16494327.74,18053581.4,17906774.1,16584916.67,16877649.04,19983542.25,20995203.14,25337409.67,27136497.73,29586645.8,23230739.18,29819354.3,32073859.69,31396076.14,31554131.4,31379191.71,29605278.62,27784367.35,30617373.21,33655876.57,32665412.83,27974207.39,,,
North America,Malaysia,Export,187933.22,219040.67,4157967.1,4590368.75,6236793.57,7176586.91,9236144.19,8919730.46,11332376.54,9260176.48,9359451.87,11210885.21,9580267.44,10656784.01,11259877.06,11197618.94,10800909.71,13008550.82,12228531.2,13750708.8,11095966.45,14842661.02,15032669.13,13599129.29,13760991.31,13785508.2,12893674.83,12309177.81,13426012.98,13617058.83,13725135.92,13075272.66,,,
North America,Vietnam,Export,2361.63,6567.62,19620.3,16419.9,18552.57,191766.02,278283.58,652626.88,315431.03,310940.28,322751.34,401745.16,498156.55,625221.46,1385127.32,1190057.18,1361109.97,1286373.49,2172202.32,3090361.09,3300910.56,3962719.21,4653844.23,4993131.28,5451094.94,6166457.15,7601288.28,10496883.63,8944817.12,10509419.38,11632023.71,10539378.18,,,
South Asia,United States,Import,2956225.34,2947178.37,2283430.19,2702473.65,3017132.28,3247300.87,4122492.2,3867229.94,4036536.27,3971608.72,3822064.11,3419129.27,3847136.78,4409834.03,6435451.72,7856695.73,10482844.34,13919552.26,17727803.95,27529126.63,18652119.23,21597885.53,26049036.93,26513838.54,25373313.96,22840032.53,24214664.86,23152925.52,27927877.85,42050558.41,39077076.86,29696458.49,,,
South Asia,Japan,Import,2049657.47,2427457.5,2051154.05,2253897.52,2253644.44,2626464.5,2811756.72,2630493.46,2645615.57,3011059.25,3160375.86,3468178.87,2719922.97,3069271.06,4263362.12,5406196.16,6465619.36,7995317.53,8824778.79,11574105.71,9899136.02,12376035.07,15602849.57,17143740.19,14597652.2,12987344.53,14814599.07,13073494.38,14317583.81,17964532.27,15310196.49,11873534.11,,,
South Asia,Singapore,Import,618271.14,795570.67,651207.06,861250.41,911591.83,1018633.56,1374368.54,1387009.61,1567774.88,2142690.51,2252612.38,2772247.75,2513185.21,2496554.69,3747219.04,4362216.09,4974597.51,7422422.19,9205462.65,11878886.85,9596699.74,11716780.54,12869108.67,12527897.58,12409542.5,9876966.01,13969780.98,8714930.84,9759110.15,18136352.25,16842497.34,13508052.26,,,
South Asia,Australia,Import,615596.38,882072.8,668065.32,1057601.82,777160.52,1011383.55,1104452.69,1454507.78,1697333.32,1651974.09,1218393.06,1422596.47,1649183.46,1731522.84,2539985.36,4291607.39,5679412.82,7076586.55,8434346.63,10499003.49,13080641.01,13420246.02,14558218.85,14370096.84,12146559.73,10571281.84,10832049.5,9431965.72,15335967.5,18022725.12,11076143.21,7680025.37,,,
South Asia,Malaysia,Import,455968.39,701011.83,576831.55,629678.42,500395.65,676425.09,951168.87,1250121.98,1419846.21,1829699.25,2260941.28,1783534.34,1624322.43,1829335.13,3261968.29,3560491.35,4031759.23,6482808.36,7889496.01,10547027.54,8026880.93,10009694.46,14664021.97,14976362.07,13640734.75,13142348.38,12902412.27,10698541.57,11258502.03,14653816.26,12868215.87,9098104.06,,,
South Asia,China,Import,163326.72,305541.37,304419.08,513287.29,685126.06,966808.1,1283140.35,943531.05,1633111.74,1889231.78,1543491.86,2699306.73,2943916.45,3705828.11,6168903.71,9232403.51,15168992.28,21928121.44,32452831.37,42471027.18,39928510.31,54371787.84,69058085.26,71377428.37,69262166.63,73316086.84,88811532.54,81059517.88,94222876.8,108335435.4,88443012.39,74867121.64,,,
South Asia,Vietnam,Import,145209.48,74401.02,66627.76,104799.25,64479.23,46829.44,15461.24,2018.27,9902.28,19184.86,18678.97,41452.72,31235.68,40077.8,60800.95,110630.61,175453.04,231190.73,239138.93,528477.07,575133.81,1366204.04,2011322.07,2622106.44,3742847.77,3181483.16,3976382.57,3791080.24,5022195.08,9182817.52,8405699.36,6253377.32,,,
South Asia,Thailand,Import,108818.32,244965.97,182880.28,195939.39,211092.6,311010.18,264860.24,278960.61,370163.84,449037.07,511795.89,791170.57,866437.73,761783.99,1274356.61,1532545.09,2314561.39,2863641.2,3689029.34,4304358.74,4483744.31,7077959.29,15986393.04,7689591.41,7605600.59,7047198.35,8055160.9,6978809.25,8494185.76,11130114.34,8774992.59,6486646.7,,,
South Asia,Germany,Import,94594.01,214839.4,1765140.46,2084421.2,2021077.29,2391122.94,3280392.86,2970263.75,2734562.99,2357566.74,2014888.95,2161004.89,2236380.38,2621888.96,3772734.57,4648659.33,7283277.23,9046228.97,10535312.12,13870238.08,13113159.19,13673401.61,17309971.31,17130152.7,15742589.88,14248523.21,14166315.16,13053533.28,14346112.06,18415059.39,13809880.01,10856739.11,,,
South Asia,"Korea, Dem. Rep.",Import,20956.43,12971.65,10697.15,89807.17,19753.18,32720.12,38954.52,56180.56,114570.73,118280.59,17039.01,72780.45,28743.69,25064.91,10308.4,12678.21,26697.19,494313.13,187804.7,188475.92,35610.6,222077.56,62009.63,113137.23,133249.66,161516.59,154660.79,126443.26,74278.36,13222.35,5272.46,2700.11,,,
South Asia,United States,Export,3104940.9,3629064.64,3974001.54,5426113,5822639.55,7035486.38,6719405.82,7730268.1,8141856.14,9316403.1,10383821.94,13876764.43,12557487.02,14245402.1,17822044.99,20084836.22,25172035.89,28175612.88,29340927.25,30561571.94,27789675.94,33746574.64,44083941.72,48016749.69,53102066.22,49142956.4,53002899.8,48334594.05,52597579.13,55540704.88,61579811.32,56120665.66,,,
South Asia,Japan,Export,1747903.47,1842596.79,1813845.84,1787801.28,1948575.5,2261542.57,2322854.04,2161303.24,2029972.4,1788526.3,1854138.28,2154401.91,1830541.13,2026799.54,2140063.61,2271832.39,2885882.42,3254383.46,3714912.99,4119868.22,3733779.53,5485255.15,6582266.01,7466007.61,8479026.29,6206810.32,5899791.75,4216579.84,4936985.39,4966916.51,5312508.43,4412686.63,,,
South Asia,Singapore,Export,371445.26,490327.2,520827.04,770862.57,865160.64,892682.68,960345.07,1005651.2,839808.03,568215.16,715559.01,914668.54,1039095.37,1484917.99,1955894.77,3679607.1,5641794.58,6352632.73,6696981.04,9084015.84,7049015.78,9437876.72,16252942.79,13974720,14507562.82,10084052.12,8276759.75,7574117.79,11863688.47,10553957.52,11009746.45,8467039.59,,,
South Asia,Australia,Export,223219.02,220144.83,247974.67,290862.67,286207.23,389700.97,389600.91,405231.33,466070.31,421593.43,453207.61,483780.74,467903.04,564575.22,751585.63,874970.46,1045065.03,1100750.22,1324537.33,1626497.48,1732061.41,2067430.55,2688874.66,3368181.63,3235956.43,2931708.26,4269334.81,3368583.47,4310796.88,3985457.36,3389087.05,3889166.55,,,
South Asia,Thailand,Export,198620.55,267534.82,214298.38,311761.67,393167.06,448350.87,484643.13,469622.33,356557.64,348113.36,521229.57,652950.83,668869.5,790462.87,851709.18,993597.59,1242843.14,1529257.92,1880813.57,2255913.88,1919391.31,2344911.15,3031537.1,3769662.96,4509397.6,3663278.51,3344852.63,3158265.5,3882864.62,4675235.93,4742902.86,3958708.6,,,
South Asia,"Korea, Rep.",Export,166577.15,187218.93,256119.33,231149.29,238800.3,379227.98,472863.03,529341.38,479471.55,324711.88,510444.39,490406.44,507774.63,676280.67,920907.66,1229780.11,1787894.78,2581812.63,2781587.22,4122890.77,4135337.54,4100332.43,5199355.4,4661460.44,5233027.35,5251817.15,4252771.79,3787588.67,4908300.74,5104573.71,4982162,4777782.54,,,
South Asia,Malaysia,Export,111643.93,154736.44,231019.73,223543.41,258868.61,301030.92,399019.36,536704.57,500257.48,339772.63,455834.69,546534.31,803020.97,760026.42,904613.8,1142789.52,1238220.7,1432685.54,1997464.75,3252511.81,3766158.81,3837746.14,4193450.64,4170234.77,5848251.09,4923748.25,5266316.77,4385537.6,5733557.72,6710167.44,6560605.41,6487926.65,,,
South Asia,Germany,Export,69615.58,210538.62,1583405.42,1966572.68,1951694.35,2400515.41,2235219.49,2189578.92,2268078.99,2408504.21,2077924.32,2754382.19,2562421.07,2834244.67,4270635.53,4960913.1,5952767.9,6640989.95,7894624.39,9223932.88,9149151.23,10058183.39,13910140.4,12239113.46,13421579.02,9523001.7,13363277.4,8920254.24,10115523.21,10316597.64,10624409.04,9663783.35,,,
South Asia,China,Export,67175.64,37234.33,87027.96,177518.33,291931.58,271677.59,379245.66,639096.92,772603.54,476450.9,554138.49,753818.56,937785.72,1567705.3,2887913.4,4460258.07,7713171.7,9138425.3,10363599.77,10963597.31,11572920.07,19249935.8,18899883.05,17932418.88,19716775.16,15908251.36,12552922.19,10745396.68,14468335.15,18234764.7,19621418.73,21127309.42,,,
South Asia,Vietnam,Export,8712.28,21893.72,21385.24,21487.26,42098.76,62131.6,149635.59,119965.75,131839.79,132277.35,160729.47,212177.15,238091.27,319491.91,415949.13,582472.46,711165.59,942305.32,1333301.43,1915983.9,1965640.87,2679328.55,3782655.99,4029898.58,6337689.06,6871198.4,5764893.09,6302962.26,8507828.01,6988677.94,5808988.43,4679815.65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
