Region,Partner Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
East Asia & Pacific,China,Export,13508307,10811452.7,13888897.48,19789034.49,72543065.37,82871017.97,99462639.33,107593689.9,114485307.3,103574743.8,108692416.2,139349184.7,141122677.9,170132747.8,226126795.3,289591048.7,338913541,396172410.3,461851279.6,512472208.2,478514406.6,647231295.9,766105157.9,787579601.6,849459228.1,821471179.8,751011007.2,738178649.2,842349681.2,925418156.3,889683073.6,913759574.8,,,
East Asia & Pacific,Thailand,Export,11418962.2,15331876.69,16438521.72,19676116.69,23301371.25,28306333.8,37366588.33,37303084.71,32070072.01,22639189.74,26457837.79,33057982.43,31143675.49,34920371.49,40743345.17,52554891.21,61372525.27,68920139.92,76835974.4,90211409.8,72020760.53,106498861.5,125562566.1,138590622,134499947.1,131025654.6,126814297.5,124043295.6,139096223.2,153991503.3,147643218.7,137814409.1,,,
East Asia & Pacific,Malaysia,Export,12298606.7,14681430.27,19398596.7,20096973.22,25784219.81,38648351.95,49444569.54,50931318.92,50768862.99,37955263.67,42958928.94,55029980.54,47242279.43,51649007.45,57392284.66,67978067.41,75601560.3,87845267.04,100837088.7,112638215.6,91149020.19,121167786.5,141319282.8,153316324.9,161198193.1,156721304.9,133490102.9,122363525.7,135588861.7,151889987.2,152127690.3,143784707.9,,,
East Asia & Pacific,Austria,Export,1732452.27,2109784.79,2462459.41,2543836.71,2731369.27,2782373.41,2820863.57,2475696.52,2424763.97,2357643.35,2378982.34,2578406.54,2368410.47,2658947.77,3314184.06,4033823.21,4305393.02,4678096.5,5178035.46,5177213.93,3931547.21,5125904.88,6143735.65,6155017.03,6906632.02,7816324.2,7975466.24,7956651.06,9633995.19,11006668.61,10056092.57,10049133.8,,,
East Asia & Pacific,"Korea, Dem. Rep.",Export,299978.96,284781.2,320884.6,823129.74,961324.4,698812.23,897440.84,874101.33,803105.39,608316.5,627682.01,980797.67,1916210.07,894781.49,1025268.06,1236869.17,1458884.17,1580815.32,1679567.94,2241388.56,2023944.72,2395858.81,3280593.5,3691684.06,3845738.31,3735241.83,3113919.77,2935604.64,3253381.68,2221327.39,2580241.28,493774.95,,,
East Asia & Pacific,Vietnam,Export,303979.11,296754.98,652202.61,1730289.29,3663288.94,4622904.43,6602169.67,7479970.98,7798498.49,7373096.59,7551954.66,9959292.17,10065215.61,11865652.56,14888883.2,20051713.44,23574487.96,30264760.44,41913243.34,53865402.9,50510329.45,66614143.05,85426348.78,94141511.89,117936036.1,137842370.8,149031236.9,150445892.6,184734188.4,204333575.2,218956387,234388935.6,,,
Europe & Central Asia,Germany,Import,50261658.13,61934292.08,55867243.1,112463677.1,125409721,247650489.8,312295913.5,319196868.1,315150855.5,336944155.9,365675725.6,376075611.8,382984966.4,418222886.7,515641585.1,628634472,670194800.4,764496023.3,924506969.1,1007926021,744925092,810527916.4,949783947.1,873079976.2,899493078.7,916742703.3,798864314.6,813467282.3,887937586.8,963707611.3,903567532.8,867875352.7,,,
Europe & Central Asia,United States,Import,37708199.44,42971359.62,44740259.74,64985294.97,84001931.52,124400271.4,146420618.7,158391075.2,176661236.4,185519396.8,191534598.8,224263971.3,212917189.3,199060780.8,211728178,239024177.3,250421114.2,289030422,328320055.9,377551884.8,301503233,305958396.4,348238821,360450357.8,355118652.3,361152157,339690005.5,346364795.1,367934933.6,396171257.1,406288098.6,363627783.8,,,
Europe & Central Asia,Japan,Import,28531875.88,33845264.48,36019132.52,47179358.07,55983830.81,71686420.3,80132612.2,77261899.26,79923327.52,86295038.71,92887461.38,103917498.7,89727442.91,87219252.54,105428697,125387136,128710220.4,136659506.5,156617434.4,174129210.4,121040099.2,131685747.8,148030463.8,130366501.3,117182685.4,113717763.6,96909963.71,107647557.4,117622867.9,124096705.9,121876380.7,103723171.3,,,
Europe & Central Asia,"Korea, Rep.",Import,3864923.84,4667254.86,5510732.09,6886722.12,8778562.6,12263257.82,16952596.21,18402563.7,20149053.57,23307044.43,24743216.98,30661467.56,25392686.65,27621717.59,35739481.08,49300678.14,58733035.16,72033288.92,78327839.37,85206278.36,61886799.35,74184732.59,80373718.76,76946236.49,76791926.17,78806489.35,66819240.43,66017813.8,85229353.34,85518403.01,85005525.89,82157770.71,,,
Europe & Central Asia,China,Import,4870869.26,7032142.29,9788151.2,13157623.81,17331735.11,28843669.31,34171944.57,39040419.03,43680087.47,48654094.31,57073554.01,79101280.39,85267480.91,100525513.2,138639322.3,190922354.8,244571385.4,306864508.8,406965066.2,484173192.4,394025656.7,497610429.3,553189529.6,523231311.8,534018979.1,566528511.6,518128829.7,527195717.6,579403879.2,628925112.1,639638382.7,669413136,,,
Europe & Central Asia,Australia,Import,1927793.64,1994386.35,1869279.72,2703392.88,3713018.38,5948950.97,6643195.53,7177611.57,7693549.52,8215125.96,7750798.83,11914387.42,10055824.85,10210910.26,12588163.95,13182402.69,13937405.29,18686300.24,22656934.35,24997120.73,16648033.82,18801723.45,23438246.27,21194683.23,16287258.88,14188769.48,12403771.26,16798444.51,19408349.73,17120306.75,24359669.84,20984839.05,,,
Europe & Central Asia,Singapore,Import,1839810.17,2709013.03,2793186.03,4343549.52,7414685.57,11220004.26,13252969.63,15224912.17,16038479.94,16900836.59,15812219.79,17783393.03,15540817.04,15431255.5,19133492.65,24274455.54,25857351.88,27531198.34,29078391.63,27945448.07,25825722.81,26473694.64,27823385.94,30371497.14,25271689.3,24948045.62,21530017.44,25889062.47,29118310.46,30235034.45,28589156.54,28113834.7,,,
Europe & Central Asia,Thailand,Import,1739882.02,2257407.9,2811983.5,4299523.69,5438632.24,7919393.84,9059560.53,10146645.6,10451191.18,11103000.24,12514443.56,14509718.23,14270901.98,13947452.91,16802987.72,19971240.69,20740824.87,24140489.9,30347716.5,35774995.12,29081133.42,30563972.81,33784638.27,33988321.16,31754634.34,34174938.67,30172723.04,33655403,36441757.39,36138963.88,38243769.52,36857878.22,,,
Europe & Central Asia,Malaysia,Import,1662076.18,2008855.51,2566220.67,3812571.41,6169676.6,8664327.57,11328183.72,13005529.89,13374321.35,13733139.52,13996146.4,17881851.73,17523461.83,17761674.62,20625154.7,23225950.24,24031734.39,27729516.98,31575541.34,34356296.61,26266831.12,31236991.01,35245387.93,31099198.6,31384466.96,33731934.39,31548147.85,32025661.4,37676845.09,39195713.52,38743968.67,39020908.99,,,
Europe & Central Asia,Vietnam,Import,45608.76,60885.28,122981.73,311569.77,505105.28,1126214.13,1467912.07,1999883.06,2746298.82,3191623.96,3989398.44,4635003.49,4908669.08,5298578.27,6383625.9,7968496.93,8684509.38,10917426.37,14056731.31,17732671.07,17766664.93,20056236.61,25366776.93,30815193.71,37484355.99,39858401.99,43446250.52,48500206.05,55852777.66,60524950.22,61942070.34,60518341.42,,,
Europe & Central Asia,United States,Export,38512144.05,43188968.53,37946806.14,53634868.88,77779032.65,124959174.4,139131498.1,154947622.4,169707355.5,188865702,209885198.5,240980107.9,239884673.7,258089773,285638212.7,325137450.7,347573543.5,381026498,400644383.5,425425407.1,328246950.5,361799033.9,420655082.1,425330942.7,431611117.1,460123073.7,453552625.5,453060383,479899768.5,538918267.9,563511634.1,548175953.8,,,
Europe & Central Asia,Germany,Export,29799619.26,39304807.6,42404226.88,101279820,119770381.5,239305333.8,301242233.2,306929782.7,301455665.1,313904975.1,340029783,360338064.8,365271141.2,375468059.5,451923057.5,537305438.4,574063670.9,658914224.2,748388249.7,853784337.6,661275391.6,706959229,844254256.7,807132863.4,836349650.3,863655650.8,732329948.4,744543891.8,816170991.1,915458040.8,871684501.1,830492968.7,,,
Europe & Central Asia,Japan,Export,13246820.44,16631638.24,15365222.66,17720350.59,22239685.14,36062969.41,44787198.35,50766635.19,45873370.22,39634312.45,43547033.87,49206184.59,47191668.79,47247943.4,53830278.53,63362784.19,64431672.29,67803442.03,75152425.6,82536195.84,65979645.29,77310246.24,91382513.71,95009761.69,98271314.15,98513808.66,84451629.66,82270563.07,87815009.59,99227098.42,97240701.9,86018949.86,,,
Europe & Central Asia,China,Export,3690584.92,3505854.24,3600875.42,6060898.26,11162958.07,16870957.51,19854969.89,24825290.3,24185228.38,23662942.61,26335625.98,31339293.96,35847742.37,44285332.82,61005688.16,76966439.77,84245779.44,106543646.8,127689421.3,155341934.1,148900824.2,193147531.4,257200013.9,252865200.2,274667759.5,290811700.6,248019271,253307058.3,299998826.3,349183839.4,349137001.2,339715663.9,,,
Europe & Central Asia,Australia,Export,3681449.99,3505918.38,3031133.67,4950862.95,7202993.27,11325885.28,13842494.1,14413977.31,14926265.36,14461807.77,15135951.76,15506541.25,14821217.2,16835356.88,20858506.2,25923568.16,27646089.99,29317224.05,35199787.06,42385648.89,33439992.75,37645530.5,46043118.88,46795636.09,45870062.83,42220953.32,37538327.13,38387991.4,41420495,45192510.14,42663328.03,40892853.53,,,
